#gene_name v65ES_Rep1 v65ES_Rep2 pNPC_Rep1 pNPC_Rep2
ERCC-00002 0 0 0 0
ERCC-00003 0 0 0 0
ERCC-00004 0 0 0 0
ERCC-00009 0 0 0 0
ERCC-00012 0 0 0 0
ERCC-00013 0 0 0 0
ERCC-00014 0 0 0 0
ERCC-00016 0 0 0 0
ERCC-00017 0 0 0 0
ERCC-00019 0 0 0 0
ERCC-00022 0 0 0 0
ERCC-00024 0 0 0 0
ERCC-00025 0 0 0 0
ERCC-00028 0 0 0 0
ERCC-00031 0 0 0 0
ERCC-00033 0 0 0 0
ERCC-00034 0 0 0 0
ERCC-00035 0 0 0 0
ERCC-00039 0 0 0 0
ERCC-00040 0 0 0 0
ERCC-00041 0 0 0 0
ERCC-00042 0 0 0 0
ERCC-00043 0 0 0 0
ERCC-00044 0 0 0 0
ERCC-00046 0 0 0 0
ERCC-00048 0 0 0 0
ERCC-00051 0 0 0 0
ERCC-00053 0 0 0 0
ERCC-00054 0 0 0 0
ERCC-00057 0 0 0 0
ERCC-00058 0 0 0 0
ERCC-00059 0 0 0 0
ERCC-00060 0 0 0 0
ERCC-00061 0 0 0 0
ERCC-00062 0 0 0 0
ERCC-00067 0 0 0 0
ERCC-00069 0 0 0 0
ERCC-00071 0 0 0 0
ERCC-00073 0 0 0 0
ERCC-00074 0 0 0 0
ERCC-00075 0 0 0 0
ERCC-00076 0 0 0 0
ERCC-00077 0 0 0 0
ERCC-00078 0 0 0 0
ERCC-00079 0 0 0 0
ERCC-00081 0 0 0 0
ERCC-00083 0 0 0 0
ERCC-00084 0 0 0 0
ERCC-00085 0 0 0 0
ERCC-00086 0 0 0 0
ERCC-00092 0 0 0 0
ERCC-00095 0 0 0 0
ERCC-00096 0 0 0 0
ERCC-00097 0 0 0 0
ERCC-00098 0 0 0 0
ERCC-00099 0 0 0 0
ERCC-00104 0 0 0 0
ERCC-00108 0 0 0 0
ERCC-00109 0 0 0 0
ERCC-00111 0 0 0 0
ERCC-00112 0 0 0 0
ERCC-00113 0 0 0 0
ERCC-00116 0 0 0 0
ERCC-00117 0 0 0 0
ERCC-00120 0 0 0 0
ERCC-00123 0 0 0 0
ERCC-00126 0 0 0 0
ERCC-00130 0 0 0 0
ERCC-00131 0 0 0 0
ERCC-00134 0 0 0 0
ERCC-00136 0 0 0 0
ERCC-00137 0 0 0 0
ERCC-00138 0 0 0 0
ERCC-00142 0 0 0 0
ERCC-00143 0 0 0 0
ERCC-00144 0 0 0 0
ERCC-00145 0 0 0 0
ERCC-00147 0 0 0 0
ERCC-00148 0 0 0 0
ERCC-00150 0 0 0 0
ERCC-00154 0 0 0 0
ERCC-00156 0 0 0 0
ERCC-00157 0 0 0 0
ERCC-00158 0 0 0 0
ERCC-00160 0 0 0 0
ERCC-00162 0 0 0 0
ERCC-00163 0 0 0 0
ERCC-00164 0 0 0 0
ERCC-00165 0 0 0 0
ERCC-00168 0 0 0 0
ERCC-00170 0 0 0 0
ERCC-00171 0 0 0 0
uc007aet.1 0 0 0 0
uc007aeu.1 5 1 0 0
uc007aev.1 0 0 0 0
uc007aew.1 0 0 0 0
uc007aex.2 0 0 0 0
uc007aey.1 0 0 0 0
uc007aez.1 0 0 0 0
uc007afa.1 0 0 0 0
uc007afb.1 0 0 0 0
uc007afc.1 0 0 0 0
uc007afd.2 0 0 0 0
uc007afe.2 0 0 0 0
uc007aff.2 4167 620 44 194
uc007afg.1 62 8 0 3
uc007afh.1 1362 464 24 61
uc007afi.2 0 0 0 0
uc007afk.2 1 1 1 3
uc007afl.2 0 1 0 1
uc007afm.1 37 6 0 2
uc007afn.1 2620 426 36 113
uc007afo.1 0 0 0 0
uc007afp.1 0 0 0 0
uc007afq.1 0 0 0 0
uc007afr.2 23 14 1 12
uc007afs.1 19 3 0 2
uc007aft.2 0 0 0 0
uc007afu.2 0 0 0 0
uc007afv.2 7 2 0 0
uc007afw.1 0 0 0 0
uc007afx.1 0 0 0 0
uc007afy.1 0 0 0 0
uc007afz.1 0 0 0 0
uc007aga.1 0 0 0 0
uc007agb.1 72 17 2 7
uc007agc.1 0 0 0 0
uc007agd.1 0 0 0 1
uc007age.1 8 1 0 0
uc007agf.1 13 2 0 0
uc007agg.1 0 0 0 0
uc007agh.1 0 0 0 0
uc007agi.1 0 0 0 0
uc007agj.1 0 0 0 0
uc007agk.2 4097 919 142 425
uc007agl.2 0 0 0 0
uc007agm.2 0 0 0 0
uc007agn.2 0 0 2 3
uc007ago.2 0 0 4 8
uc007agp.1 0 0 53 142
uc007agq.1 139 14 38 91
uc007agr.1 19 3 6 8
uc007ags.1 528 93 21 56
uc007agt.1 8 3 0 1
uc007agu.1 0 0 0 0
uc007agv.1 0 0 0 0
uc007agw.1 2 0 0 0
uc007agx.1 0 0 0 0
uc007agy.1 0 0 0 0
uc007agz.1 2 1 0 0
uc007aha.1 1758 389 48 164
uc007ahb.1 0 0 0 0
uc007ahc.1 0 0 0 0
uc007ahd.1 0 0 0 0
uc007ahe.1 1074 135 13 59
uc007ahf.1 69 21 3 13
uc007ahg.1 4 0 1 3
uc007ahh.1 0 0 0 0
uc007ahi.1 1 0 0 0
uc007ahj.1 0 0 0 0
uc007ahk.1 0 0 0 0
uc007ahl.1 0 0 0 0
uc007ahm.1 0 0 0 0
uc007ahn.1 75 10 17 22
uc007aho.1 20 6 3 4
uc007ahp.1 0 0 0 0
uc007ahq.1 0 0 0 0
uc007ahr.1 0 0 0 0
uc007ahs.2 31 4 0 0
uc007aht.1 1 0 0 0
uc007ahu.1 2 0 0 0
uc007ahv.2 0 0 0 0
uc007ahw.2 5 1 0 0
uc007ahx.2 0 0 0 0
uc007ahy.2 0 0 0 0
uc007ahz.1 0 0 0 0
uc007aia.2 0 0 0 0
uc007aib.2 0 0 0 0
uc007aic.1 7 0 0 0
uc007aid.1 0 0 0 0
uc007aie.1 0 0 0 0
uc007aif.1 30 8 1 5
uc007aig.1 0 0 0 0
uc007aih.1 0 0 0 0
uc007aii.1 0 0 0 0
uc007aik.1 315 53 0 0
uc007ail.1 0 0 0 0
uc007aim.1 0 0 0 0
uc007ain.1 0 0 0 0
uc007aio.1 0 0 0 0
uc007aip.1 20 8 1 1
uc007aiq.1 20 3 3 13
uc007air.1 8 3 1 5
uc007ais.1 12 0 4 4
uc007ait.1 3841 866 189 531
uc007aiu.1 1544 329 26 58
uc007aiv.1 2 0 0 0
uc007aiw.1 3 0 0 0
uc007aix.1 0 0 0 0
uc007aiy.1 0 0 0 0
uc007aiz.1 0 0 0 0
uc007aja.1 1078 248 0 0
uc007ajb.1 2 0 0 0
uc007ajc.1 70 13 0 0
uc007ajd.1 0 0 0 0
uc007aje.1 1 0 0 1
uc007ajf.1 0 0 0 0
uc007ajg.1 95 25 1 12
uc007ajh.1 0 0 0 0
uc007aji.1 0 0 0 0
uc007ajj.1 1 0 0 0
uc007ajk.1 0 0 0 2
uc007ajl.2 29347 5342 845 3407
uc007ajm.1 441 76 10 36
uc007ajn.2 0 0 0 0
uc007ajo.2 0 0 0 0
uc007ajq.2 86 6 7 16
uc007ajr.2 3 2 1 0
uc007ajs.1 2 0 0 2
uc007ajt.1 471 108 21 53
uc007aju.1 9 2 1 2
uc007ajv.1 1 4 0 0
uc007ajw.1 13 3 2 0
uc007ajx.1 0 0 0 0
uc007ajy.1 0 0 0 0
uc007ajz.2 0 0 1 0
uc007aka.1 137 27 1 3
uc007akb.2 0 0 0 0
uc007akc.2 1 0 4 5
uc007akd.1 0 0 0 0
uc007ake.2 6 2 0 0
uc007akf.1 2 0 0 0
uc007akg.1 1 0 0 0
uc007akh.1 2 0 0 0
uc007aki.1 0 0 0 0
uc007akj.1 0 0 0 0
uc007akk.1 0 0 0 0
uc007akl.1 0 0 0 0
uc007akm.1 0 0 0 0
uc007akn.2 0 0 0 0
uc007ako.1 0 0 0 0
uc007akp.1 4 0 0 0
uc007akq.1 0 0 0 0
uc007akr.1 0 0 0 0
uc007aks.1 0 0 0 0
uc007akt.1 0 0 0 0
uc007aku.1 0 0 0 0
uc007akv.1 22 8 0 0
uc007akw.1 0 0 0 0
uc007akx.1 0 0 0 0
uc007aky.1 0 0 0 0
uc007akz.1 0 0 0 0
uc007ala.1 0 0 0 0
uc007alb.1 0 1 0 0
uc007alc.1 27789 6001 463 1634
uc007ald.1 1 0 0 0
uc007ale.1 0 0 0 0
uc007alf.2 41 11 0 1
uc007alg.1 110 32 4 18
uc007alh.1 3 1 1 2
uc007ali.1 7 1 0 0
uc007alj.1 0 0 0 0
uc007alk.1 0 0 0 0
uc007all.1 0 0 0 0
uc007alm.1 0 0 0 0
uc007aln.1 0 0 0 0
uc007alo.1 0 0 0 0
uc007alp.2 0 0 0 0
uc007alq.2 0 0 0 0
uc007alr.1 0 0 0 0
uc007als.1 0 0 0 0
uc007alt.1 0 0 0 0
uc007alu.1 0 0 0 0
uc007alv.1 0 0 0 0
uc007alw.1 0 0 0 0
uc007alx.1 0 0 0 0
uc007aly.1 0 0 0 0
uc007alz.1 0 0 0 1
uc007ama.2 0 0 0 0
uc007amb.1 226 40 13 34
uc007amc.1 0 0 0 0
uc007amd.1 0 1 0 0
uc007ame.1 0 0 7 28
uc007amf.1 2 0 0 0
uc007amg.1 0 0 0 0
uc007amh.1 30 4 2 8
uc007ami.1 2 2 0 0
uc007amj.2 261 45 12 50
uc007amk.2 0 0 0 0
uc007aml.2 11 1 3 7
uc007amn.2 6 4 0 9
uc007amo.2 0 1 0 0
uc007amp.2 0 0 0 0
uc007amq.1 0 0 0 0
uc007amr.1 0 0 0 0
uc007ams.1 0 0 0 0
uc007amt.1 2 0 1 6
uc007amu.1 0 0 0 0
uc007amv.2 0 0 0 0
uc007amw.2 0 0 0 0
uc007amy.1 0 0 0 0
uc007amz.2 0 0 0 0
uc007ana.1 0 1 0 0
uc007anb.1 0 0 0 0
uc007anc.1 0 0 0 0
uc007and.1 0 0 0 0
uc007ane.1 927 164 51 122
uc007anf.1 8 6 0 0
uc007ang.1 13 3 1 3
uc007anh.1 0 0 0 0
uc007ani.1 0 0 0 0
uc007anj.2 0 0 0 0
uc007ank.1 0 0 0 0
uc007anl.2 0 0 0 0
uc007anm.1 0 0 0 0
uc007ann.1 0 0 2 0
uc007ano.1 0 0 0 0
uc007anp.1 1 0 0 2
uc007anq.1 1762 333 32 164
uc007anr.1 2 2 1 2
uc007ans.1 0 0 0 0
uc007ant.2 14 6 3 8
uc007anu.1 67 9 1 1
uc007anv.1 5 3 0 1
uc007anw.2 0 0 0 0
uc007anx.2 5 0 0 1
uc007any.1 548 124 51 167
uc007anz.1 36 3 2 1
uc007aoa.1 0 0 0 0
uc007aob.1 127 18 14 33
uc007aoc.1 0 0 0 0
uc007aod.1 0 0 0 0
uc007aoe.1 0 0 0 1
uc007aof.1 39 11 2 11
uc007aog.1 1 0 0 0
uc007aoh.1 0 0 0 0
uc007aoi.1 446 75 21 63
uc007aoj.1 0 0 0 0
uc007aok.1 5 0 2 5
uc007aol.1 108 25 2 13
uc007aom.1 3 1 1 2
uc007aon.1 26 2 3 1
uc007aoo.1 0 0 0 0
uc007aop.1 0 0 0 0
uc007aor.2 7227 1672 130 432
uc007aos.1 26 5 3 1
uc007aot.1 1 0 0 0
uc007aou.1 0 0 0 0
uc007aov.1 9 1 0 0
uc007aow.1 17 2 0 0
uc007aox.1 0 0 0 0
uc007aoz.1 0 0 0 0
uc007apa.1 0 0 0 0
uc007apb.1 0 0 0 0
uc007apc.1 0 0 0 0
uc007apd.1 0 0 0 0
uc007ape.1 1 2 7 18
uc007apf.1 18 8 55 214
uc007apg.1 0 0 0 0
uc007aph.1 3 1 1 6
uc007api.1 0 0 0 0
uc007apj.2 0 0 0 0
uc007apk.1 30 2 1 4
uc007apl.1 823 158 71 259
uc007apm.1 0 0 0 0
uc007apn.2 2976 713 105 392
uc007apo.2 40 15 0 10
uc007app.2 3 2 0 0
uc007apq.2 0 0 0 0
uc007apr.2 8 3 0 0
uc007aps.1 10 2 0 0
uc007apt.1 0 0 0 0
uc007apu.2 0 0 0 0
uc007apv.2 0 0 0 0
uc007apw.2 1 2 0 0
uc007apx.2 0 0 0 0
uc007apy.2 0 0 0 0
uc007apz.1 0 0 0 0
uc007aqa.1 0 0 0 0
uc007aqb.1 1 0 0 0
uc007aqc.1 48 10 0 8
uc007aqd.1 0 0 0 0
uc007aqe.1 0 0 0 0
uc007aqf.1 0 0 0 0
uc007aqg.2 425 105 27 96
uc007aqi.1 0 0 1 0
uc007aqj.1 0 0 0 0
uc007aqk.1 0 0 0 0
uc007aql.1 0 0 0 0
uc007aqm.1 0 0 0 0
uc007aqn.1 0 0 0 0
uc007aqo.1 0 0 0 0
uc007aqp.1 4 0 0 1
uc007aqq.2 4 0 3 4
uc007aqr.2 0 0 0 0
uc007aqs.2 1 2 2 4
uc007aqu.2 1 1 0 0
uc007aqv.2 6 2 0 0
uc007aqw.1 8962 2288 589 1819
uc007aqx.1 5713 1289 380 1352
uc007aqy.1 5 0 0 0
uc007aqz.1 15 4 0 0
uc007ara.1 1 0 0 0
uc007arb.1 0 0 0 0
uc007arc.1 0 0 0 0
uc007ard.1 2805 550 50 169
uc007are.1 0 0 0 0
uc007arf.1 0 0 0 0
uc007arh.2 0 0 0 0
uc007ari.1 218 52 0 0
uc007arj.1 8 2 2 1
uc007ark.1 1 2 0 1
uc007arl.2 48 17 3 10
uc007arm.1 0 0 0 0
uc007arn.1 0 0 0 0
uc007aro.2 5862 1187 127 432
uc007arp.1 63 11 5 10
uc007arq.1 0 0 0 0
uc007arr.2 2 0 1 0
uc007art.2 0 0 0 0
uc007aru.2 0 0 0 0
uc007arv.2 0 0 0 0
uc007arw.1 0 0 0 0
uc007arx.2 3 0 0 3
uc007ary.1 0 0 0 0
uc007arz.1 0 0 0 0
uc007asa.1 0 0 0 0
uc007asb.1 0 0 0 0
uc007asc.1 0 0 0 0
uc007asd.1 0 0 0 0
uc007ase.1 0 0 0 0
uc007asf.1 0 0 0 0
uc007asg.1 1 2 1 0
uc007ash.2 416 92 9 32
uc007asi.1 326 66 7 28
uc007asj.1 3260 609 138 388
uc007ask.1 0 0 0 0
uc007asl.1 0 0 0 0
uc007asm.1 1 2 0 1
uc007asn.1 2 0 0 0
uc007aso.1 320 82 10 34
uc007asp.1 0 0 0 0
uc007asq.1 51 12 2 7
uc007asr.1 314 80 7 21
uc007ass.2 252 59 3 2
uc007ast.1 0 0 0 0
uc007asu.1 0 0 0 0
uc007asw.1 0 0 0 0
uc007asx.1 64 11 32 67
uc007asy.1 0 0 0 0
uc007asz.1 6 2 0 2
uc007ata.1 15 5 0 1
uc007atb.1 0 0 0 0
uc007atc.1 1509 358 36 116
uc007atd.2 9 3 0 3
uc007ate.2 30 6 2 3
uc007atf.2 596 126 14 57
uc007atg.2 89 14 7 30
uc007ath.2 11 3 3 2
uc007ati.1 576 134 23 69
uc007atj.1 0 0 0 0
uc007atk.1 14 4 0 5
uc007atl.2 1314 268 52 138
uc007atm.1 5 1 4 22
uc007atn.2 2 1 1 1
uc007ato.2 0 0 0 0
uc007atp.1 0 0 0 0
uc007atq.1 0 0 0 0
uc007atr.1 0 0 0 0
uc007ats.1 2 2 3 10
uc007att.1 0 0 1 2
uc007atu.1 0 0 0 0
uc007atv.1 0 0 0 0
uc007atw.1 1 0 0 0
uc007atx.1 0 0 0 0
uc007aty.1 0 0 0 0
uc007atz.2 0 0 0 0
uc007aua.2 0 0 0 0
uc007aub.2 0 0 0 0
uc007auc.2 0 0 0 0
uc007aud.1 0 0 0 0
uc007aue.1 0 0 0 0
uc007auf.1 0 0 0 0
uc007aug.1 0 0 0 0
uc007auh.1 0 0 0 0
uc007aui.1 0 0 0 0
uc007auj.1 0 0 0 0
uc007auk.1 2 1 0 0
uc007aul.1 0 0 0 0
uc007aum.1 0 0 0 0
uc007aun.1 9 2 0 0
uc007auo.1 0 0 0 0
uc007aup.1 0 0 0 0
uc007auq.1 0 0 1 0
uc007aur.1 0 0 0 0
uc007aus.1 0 0 0 0
uc007aut.1 0 0 0 0
uc007auu.1 0 0 0 0
uc007auv.1 0 0 4 23
uc007auw.1 11 3 279 1016
uc007aux.2 2 0 28 81
uc007auy.1 0 0 3 12
uc007auz.2 2 2 1 1
uc007ava.2 779 173 8 52
uc007avb.1 24 3 0 1
uc007avc.2 15 1 5 5
uc007avd.2 0 0 0 1
uc007ave.1 0 0 0 0
uc007avf.1 0 0 0 0
uc007avg.1 33 2 1 16
uc007avh.1 0 0 0 0
uc007avi.1 14 4 0 0
uc007avj.1 1627 361 65 140
uc007avk.1 32 8 1 0
uc007avl.1 0 0 0 0
uc007avm.2 348 99 21 85
uc007avn.1 2 0 1 2
uc007avo.2 784 184 200 723
uc007avp.2 18 3 51 180
uc007avq.1 6 0 0 0
uc007avr.1 6 3 1 3
uc007avs.1 0 0 0 0
uc007avt.1 0 0 0 0
uc007avu.1 0 0 0 0
uc007avv.1 0 0 0 0
uc007avw.1 0 0 0 0
uc007avx.2 0 0 0 0
uc007avy.2 0 0 0 0
uc007avz.2 4 1 0 0
uc007awa.2 0 0 0 0
uc007awb.1 26 3 1 3
uc007awc.1 4 1 0 0
uc007awd.2 2 0 0 0
uc007awe.2 0 0 0 0
uc007awf.2 0 1 0 2
uc007awg.1 43 16 3 20
uc007awh.2 0 0 0 0
uc007awi.2 138 17 6 29
uc007awj.1 0 0 0 0
uc007awk.1 2 0 0 0
uc007awl.2 0 0 0 0
uc007awm.2 0 0 0 0
uc007awn.2 0 0 0 0
uc007awp.2 0 1 0 0
uc007awq.2 278 73 0 4
uc007awr.1 2403 458 52 175
uc007aws.1 1 0 0 0
uc007awt.1 1551 286 24 61
uc007awu.1 156 25 0 0
uc007awv.1 4 0 0 0
uc007awx.2 14 1 0 1
uc007awy.1 35 2 1 2
uc007awz.2 0 0 0 0
uc007axa.1 0 0 0 0
uc007axb.1 0 0 0 0
uc007axc.1 617 123 41 85
uc007axd.1 3 0 0 0
uc007axe.1 0 0 0 0
uc007axf.1 0 0 0 0
uc007axg.2 4 0 1 3
uc007axh.1 0 0 0 0
uc007axi.1 1 0 0 0
uc007axj.1 15 0 9 23
uc007axk.1 109 19 4 6
uc007axl.1 0 0 0 0
uc007axm.1 97 17 0 0
uc007axn.1 0 0 0 0
uc007axo.1 0 0 0 0
uc007axp.1 3 0 0 0
uc007axq.1 7 1 0 0
uc007axr.2 0 0 0 0
uc007axs.2 1 1 0 0
uc007axt.2 0 0 0 0
uc007axu.2 6 1 1 6
uc007axv.2 4 0 0 0
uc007axw.1 2 0 0 0
uc007axx.1 0 0 0 0
uc007axy.1 4 0 0 1
uc007axz.1 11 1 0 1
uc007aya.1 0 0 0 0
uc007ayb.1 0 0 0 0
uc007ayc.1 2 1 0 1
uc007ayd.1 0 0 0 0
uc007aye.2 183 34 27 66
uc007ayg.1 9 1 0 1
uc007ayh.2 200 48 38 126
uc007ayk.3 0 0 0 0
uc007ayl.2 15 6 5 14
uc007aym.1 0 0 0 0
uc007ayn.1 0 0 0 0
uc007ayo.2 173 39 17 60
uc007ayp.1 152 30 9 35
uc007ayq.1 69 10 1 0
uc007ayr.1 45 9 0 0
uc007ays.1 0 0 0 0
uc007ayt.1 0 0 0 0
uc007ayu.1 20 1 0 0
uc007ayv.1 16 2 1 1
uc007ayw.1 0 0 0 0
uc007ayx.1 0 0 0 0
uc007ayy.2 11 2 0 1
uc007aza.1 5 0 0 0
uc007azb.1 0 0 0 0
uc007azc.1 0 0 0 0
uc007azd.1 0 0 0 0
uc007aze.1 0 0 0 0
uc007azf.1 0 0 0 0
uc007azg.1 0 0 0 0
uc007azh.1 0 0 0 0
uc007azi.1 32 4 0 0
uc007azj.2 401 58 18 38
uc007azk.2 87 12 12 28
uc007azl.2 0 0 0 0
uc007azm.1 0 0 0 0
uc007azn.1 0 0 0 0
uc007azo.1 0 0 0 0
uc007azp.1 1040 147 28 86
uc007azr.2 0 0 0 0
uc007azt.1 0 0 0 0
uc007azu.2 0 1 0 0
uc007azv.2 0 0 0 0
uc007azw.1 18 5 3 4
uc007azx.1 2092 278 59 177
uc007azy.1 153 41 6 21
uc007azz.1 26 0 0 1
uc007baa.1 0 0 0 0
uc007bab.2 34873 5971 352 1068
uc007bac.2 16961 3331 385 963
uc007bad.1 0 0 0 0
uc007bae.1 0 0 0 0
uc007baf.1 12 2 1 0
uc007bag.1 3 0 6 21
uc007bah.1 0 0 0 0
uc007bai.1 7 0 2 15
uc007baj.1 1146 242 37 146
uc007bal.1 0 0 0 0
uc007bam.1 0 0 0 0
uc007ban.2 4 1 13 38
uc007bao.1 0 0 0 0
uc007bap.1 0 0 0 0
uc007baq.1 0 0 0 0
uc007bar.1 0 0 0 0
uc007bas.1 1 0 0 0
uc007bat.2 0 0 0 0
uc007bav.1 0 0 0 0
uc007baw.1 0 0 0 0
uc007bax.1 40 10 1 4
uc007bay.2 133 33 21 42
uc007baz.2 0 0 0 0
uc007bba.2 0 0 0 0
uc007bbb.2 0 0 0 0
uc007bbc.2 1069 216 28 114
uc007bbd.2 3 2 2 8
uc007bbe.2 0 0 0 0
uc007bbf.2 0 0 0 0
uc007bbh.2 16 1 3 3
uc007bbi.2 0 0 0 0
