#gene_name v65es_rep1 v65es_rep2 pnpc_rep1 pnpc_rep2
uc008ezm.2 6.77992 9.70781 24.38 53.7671
uc008nwu.2 2.89037 3.47143 3.63109 23.6004
uc008los.2 1.79176 1.34293 5.75514 10.1084
uc008lot.2 1.38629 1.34293 0.0 0.0
uc008lov.2 3.78419 4.25699 0.0 0.0
uc008low.2 1.94591 2.1285 0.0 0.0
uc008lox.2 3.46574 3.11819 3.63109 0.0
uc007rea.1 2.63906 3.47143 5.75514 6.37772
uc007reb.1 2.07944 1.34293 0.0 0.0
uc007red.1 6.35089 9.2098 13.4366 29.9781
uc007zad.1 2.63906 1.34293 0.0 0.0
uc007zae.1 0.693147 0.0 0.0 0.0
uc009acf.2 2.30259 3.47143 3.63109 14.8086
uc009ace.2 5.69373 8.20333 21.2708 50.5043
